apiary no,P,PA,Q,G,GA,CF,F,HB,CA,IA,HVA,loss_rate
1,0.15,0.23,0.5,0.29,0.35,0.49,0.28,2.11,2.3,0,0.05,0.3319
2,0.1,0.09,0.55,0.27,0.32,0.33,0.03,1.679,1.85,2.11,0.02,0.6912
3,0.08,0.08,0.84,0.24,0.36,0.37,0.01,2.73,2.23,0,0.11,0.2233
4,0,0,0.45,0.32,0.24,0.21,0.103,1.879,2.03,1.39,0.09,0.6043
5,0,0.09,0.45,0.32,0.26,0.26,0.086,4.12,1.89,1.27,0.03,0.5312
6,0,0,0.32,0.23,0.22,0.32,0.04,3.22,1,0,0.029,0.2312
7,0,0,0.38,0.22,0.49,0.28,0.01,1.78,1.08,1.36,0.03,0.2571
8,0.13,0.28,0.69,0.27,0.82,1.18,0.053,2.63,2.03,2.43,0.06,0.7372
9,0,0.11,0.39,0.23,0.44,0.37,0.02,2.76,2.06,1.76,0.07,0.6398
10,0.08,0.27,0.63,0.25,1.2,0.49,0.09,3.56,1.04,3.66,0.04,0.8357
11,0,0.12,0.41,0.25,0.32,0.32,0.03,3.22,2.08,0,0.08,0.4394
12,2.16,0.05,1.05,4.52,1.71,2,0.19,5.46,1.52,0.86,0.12,0.1387
13,0.17,0.12,0.45,0.39,0.46,0.36,0.106,3.96,2.09,2.27,0.03,0.5312
14,0,0.03,0.22,0.2,0.2,0.22,0.03,2.12,1.23,1.13,0.02,0.3112
